Number,Question,Not at all,A little,Quite a bit,Very Much,,,
1,"Do you have any trouble doing strenuous activities, like carrying a heavy shopping bag or a suitcase?",1,2,3,4,,,
2,Do you have any trouble taking a long walk?,1,2,3,4,,,
3,Do you have any trouble taking a short walk outside of the house?,1,2,3,4,,,
4,Do you need to stay in bed or a chair during the day?,1,2,3,4,,,
5,"Do you need help with eating, dressing, washing yourself or using the toilet?",1,2,3,4,,,
,During the past week:,,,,,,,
6,Were you limited in doing either your work or other daily activities?,1,2,3,4,,,
7,Were you limited in pursuing your hobbies or other leisure time activities?,1,2,3,4,,,
8,Were you short of breath?,1,2,3,4,,,
9,Have you had pain?,1,2,3,4,,,
10,Did you need to rest?,1,2,3,4,,,
11,Have you had trouble sleeping?,1,2,3,4,,,
12,Have you felt weak?,1,2,3,4,,,
13,Have you lacked appetite?,1,2,3,4,,,
14,Have you felt nauseated?,1,2,3,4,,,
15,Have you vomited?,1,2,3,4,,,
16,Have you been constipated?,1,2,3,4,,,
17,Have you had diarrhea?,1,2,3,4,,,
18,Were you tired?,1,2,3,4,,,
19,Did pain interfere with your daily activities?,1,2,3,4,,,
20,"Have you had difficulty in concentrating on things, like reading a newspaper or watching television?",1,2,3,4,,,
21,Did you feel tense?,1,2,3,4,,,
22,Did you worry?,1,2,3,4,,,
23,Did you feel irritable?,1,2,3,4,,,
24,Did you feel depressed?,1,2,3,4,,,
25,Have you had difficulty remembering things?,1,2,3,4,,,
26,Has your physical condition or medical treatment interfered with your family life?,1,2,3,4,,,
27,Has your physical condition or medical treatment interfered with your social activities?,1,2,3,4,,,
28,Has your physical condition or medical treatment caused you financial difficulties?,1,2,3,4,,,
,For the following questions please circle the number between 1 and 7 that best applies to you,Very Poor,,,,,,Excellent
29,How would you rate your overall health during the past week?,1,2,3,4,5,6,7
30,How would you rate your overall quality of life during the past week?,1,2,3,4,5,6,7
,During the past week:,Not at all,A little,Quite a bit,Very Much,,,
31,Did you urinate frequently during the day?,1,2,3,4,,,
32,Did you urinate frequently during the night?,1,2,3,4,,,
33,Have you had any unintentional release (leakage) of urine?,1,2,3,4,,,
34,Did you have pain when you urinated?,1,2,3,4,,,
35,Did you have abdominal pain?,1,2,3,4,,,
36,Did you have pain in your buttocks/anal area/rectum?,1,2,3,4,,,
37,Did you have a bloated feeling in your abdomen?,1,2,3,4,,,
38,Have you had blood in your stools?,1,2,3,4,,,
39,Have you had mucus in your stools?,1,2,3,4,,,
40,Did you have a dry mouth?,1,2,3,4,,,
41,Have you lost hair as a result of your treatment?,1,2,3,4,,,
42,Have you had problems with your sense of taste?,1,2,3,4,,,
,During the past week:,,,,,,,
43,Were you worried about your health in the future?,1,2,3,4,,,
44,Have you worried about your weight?,1,2,3,4,,,
45,Have you felt physically less attractive as a result of your disease or treatment?,1,2,3,4,,,
46,Have you been feeling less feminine/masculine as a result of your disease or treatment?,1,2,3,4,,,
47,Have you been dissatisfied with your body?,1,2,3,4,,,
,,No,Yes,,,,,
48,Do you have a stoma bag (colostomy/ileostomy)? (please circle the correct answer),1,2,,,,,
,During the past week:,Not at all,A little,Quite a bit,Very Much,,,
,"Answer these questions ONLY IF YOU HAVE A STOMA BAG, if not please continue below:",,,,,,,
49,Have you had unintentional release of gas/flatulence from your stoma bag?,1,2,3,4,,,
50,Have you had leakage of stools from your stoma bag?,1,2,3,4,,,
51,Have you had sore skin around your stoma?,1,2,3,4,,,
52,Did frequent bag changes occur during the day?,1,2,3,4,,,
53,Did frequent bag changes occur during the night?,1,2,3,4,,,
54,Did you feel embarrassed because of your stoma?,1,2,3,4,,,
55,Did you have problems caring for your stoma?,1,2,3,4,,,
,Answer these questions ONLY IF YOU DO NOT HAVE A STOMA BAG,,,,,,,
49,Have you had unintentional release of gas/flatulence from your back passage?,1,2,3,4,,,
50,Have you had leakage of stools from your back passage?,1,2,3,4,,,
51,Have you had sore skin around your anal area?,1,2,3,4,,,
52,Did frequent bowel movements occur during the day?,1,2,3,4,,,
53,Did frequent bowel movements occur during the night?,1,2,3,4,,,
54,Did you feel embarrassed because of your bowel movement?,1,2,3,4,,,
,During the past 4 weeks:,Not at all,A little,Quite a bit,Very Much,,,
,For men only:,,,,,,,
56,To what extent were you interested in sex?,1,2,3,4,,,
57,Did you have difficulty getting or maintaining an erection?,1,2,3,4,,,
,For women only:,,,,,,,
58,To what extent were you interested in sex?,1,2,3,4,,,
59,Did you have pain or discomfort during intercourse?,1,2,3,4,,,
,During the past 4 weeks:,Always,Most of the time,Sometimes ,Rarely ,Never,,
60,Do certain solid foods increase the number of bowel movements in a day?,1,2,3,4,5,,
61,Do certain liquids that you drink increase the number of bowel movements in a day?,1,2,3,4,5,,
62,Have you limited the types of solid foods you eat to control your bowel movements?,1,2,3,4,5,,
63,Have you limited the types of liquids you drink to control your bowel movements?,1,2,3,4,5,,
,During the past week:,,,,,,,
64,Have you had tingling hands or feet?,Not at all,A little,Quite a bit,Very Much,,,
,,1,2,3,4,,,